player_name,league,role,cluster,cluster_name
JP Faulkner,PSL,Bowler,1,Recent-Form Strike Bowlers
JP McIlroy,T20_Blast,Bowler,1,Recent-Form Strike Bowlers
JPR Scantlebury-Searles,CPL,Bowler,2,Developing Bowlers
JR Coleman,BBL,Bowler,3,"Economical Bowlers, Low Recent Activity"
JR Hazlewood,BBL,Bowler,3,"Economical Bowlers, Low Recent Activity"
JR Hazlewood,IPL,Bowler,1,Recent-Form Strike Bowlers
JS Paris,BBL,Bowler,2,Developing Bowlers
JS Patel,T20_Blast,Bowler,0,Experienced Wicket-Takers
JT Ball,T20_Blast,Bowler,0,Experienced Wicket-Takers
JW Dernbach,T20_Blast,Bowler,0,Experienced Wicket-Takers
JW Hastings,BBL,Bowler,3,"Economical Bowlers, Low Recent Activity"
JW Shutt,T20_Blast,Bowler,1,Recent-Form Strike Bowlers
James Middlebrook,T20_Blast,Bowler,3,"Economical Bowlers, Low Recent Activity"
Joginder Sharma,IPL,Bowler,2,Developing Bowlers
Junaid Khan,PSL,Bowler,3,"Economical Bowlers, Low Recent Activity"
Junaid Khan,T20_Blast,Bowler,3,"Economical Bowlers, Low Recent Activity"
K Kartikeya,IPL,Bowler,2,Developing Bowlers
K Pierre,CPL,Bowler,0,Experienced Wicket-Takers
K Rabada,IPL,Bowler,0,Experienced Wicket-Takers
K Santokie,CPL,Bowler,0,Experienced Wicket-Takers
K Sinclair,CPL,Bowler,3,"Economical Bowlers, Low Recent Activity"
KAJ Roach,CPL,Bowler,2,Developing Bowlers
KC Cariappa,IPL,Bowler,2,Developing Bowlers
KHD Barker,T20_Blast,Bowler,3,"Economical Bowlers, Low Recent Activity"
KJ Abbott,T20_Blast,Bowler,0,Experienced Wicket-Takers
KK Ahmed,IPL,Bowler,1,Recent-Form Strike Bowlers
KK Cooper,IPL,Bowler,3,"Economical Bowlers, Low Recent Activity"
KL Nagarkoti,IPL,Bowler,2,Developing Bowlers
KM Jarvis,T20_Blast,Bowler,3,"Economical Bowlers, Low Recent Activity"
KOK Williams,CPL,Bowler,0,Experienced Wicket-Takers
KP Appanna,IPL,Bowler,2,Developing Bowlers
KR Sen,IPL,Bowler,1,Recent-Form Strike Bowlers
KV Sharma,IPL,Bowler,0,Experienced Wicket-Takers
KW Richardson,BBL,Bowler,0,Experienced Wicket-Takers
KW Richardson,IPL,Bowler,3,"Economical Bowlers, Low Recent Activity"
