player_name,league,target_season,cutoff_season,forecast_prob_poor,forecast_prob_average,forecast_prob_elite,role,recent_form,recent_form_percentile,n_recent_seasons_used,reliability,reliability_percentile,forecast_expected_tier,forecast_normalized,forecast_predicted_tier,eligible,forecast_model,forecast_model_status,rf_normalized,rf_prediction_available,final_score,weights_renormalized,effective_weight_rf,effective_weight_recent_form,effective_weight_reliability,forecast_contribution,recent_form_contribution,reliability_contribution,selection_scenario,objective_value
SV Samson,IPL,2024,2023,0.09170941,0.38304222,0.52524835,Wicketkeeper-Batsman,75.286,0.8571428571428571,3,1.0,0.6666666666666666,1.4335389200000002,0.7167694600000001,Elite,1,FT-Transformer,frozen_primary,0.7167694600000001,1,0.7167694600000001,False,1.0,0.0,0.0,0.7167694600000001,0.0,0.0,IPL_XI,8.991990640000001
Shubman Gill,IPL,2024,2023,0.07754404,0.32562998,0.5968259,Batsman,88.68400000000001,1.0,3,1.0,0.7741935483870968,1.51928178,0.75964089,Elite,1,FT-Transformer,frozen_primary,0.75964089,1,0.75964089,False,1.0,0.0,0.0,0.75964089,0.0,0.0,IPL_XI,8.991990640000001
V Kohli,IPL,2024,2023,0.07267303,0.27664858,0.6506784,Batsman,71.21900000000001,0.875,3,1.0,0.7741935483870968,1.57800538,0.78900269,Elite,1,FT-Transformer,frozen_primary,0.78900269,1,0.78900269,False,1.0,0.0,0.0,0.78900269,0.0,0.0,IPL_XI,8.991990640000001
YS Chahal,IPL,2024,2023,0.07365702,0.13007297,0.7962701,Bowler,87.822,0.979591836734694,3,1.0,0.8194444444444444,1.72261317,0.861306585,Elite,1,FT-Transformer,frozen_primary,0.861306585,1,0.861306585,False,1.0,0.0,0.0,0.861306585,0.0,0.0,IPL_XI,8.991990640000001
Babar Azam,PSL,2024,2023,0.1013715,0.43341076,0.46521774,Batsman,74.05600000000001,1.0,3,1.0,0.8676470588235294,1.36384624,0.68192312,Elite,1,FT-Transformer,frozen_primary,0.68192312,1,0.68192312,False,1.0,0.0,0.0,0.68192312,0.0,0.0,PSL_XI,8.33355605
Faheem Ashraf,PSL,2024,2023,0.07705902,0.27609757,0.6468434,All-Rounder,66.00500000000002,0.8,3,1.0,0.75,1.5697843699999998,0.7848921849999999,Elite,1,FT-Transformer,frozen_primary,0.7848921849999999,1,0.7848921849999999,False,1.0,0.0,0.0,0.7848921849999999,0.0,0.0,PSL_XI,8.33355605
Fakhar Zaman,PSL,2024,2023,0.09994647,0.37807113,0.52198243,Batsman,72.09800000000001,0.92,3,1.0,0.8676470588235294,1.42203599,0.711017995,Elite,1,FT-Transformer,frozen_primary,0.711017995,1,0.711017995,False,1.0,0.0,0.0,0.711017995,0.0,0.0,PSL_XI,8.33355605
Haris Rauf,PSL,2024,2023,0.093686625,0.1876658,0.7186476,Bowler,74.51600000000002,0.9090909090909092,3,1.0,0.90625,1.624961,0.8124805,Elite,1,FT-Transformer,frozen_primary,0.8124805,1,0.8124805,False,1.0,0.0,0.0,0.8124805,0.0,0.0,PSL_XI,8.33355605
Hasan Ali,PSL,2024,2023,0.105851196,0.21125014,0.68289864,Bowler,67.95200000000001,0.7727272727272727,3,1.0,0.90625,1.57704742,0.78852371,Elite,1,FT-Transformer,frozen_primary,0.78852371,1,0.78852371,False,1.0,0.0,0.0,0.78852371,0.0,0.0,PSL_XI,8.33355605
Imad Wasim,PSL,2024,2023,0.06917116,0.2524667,0.67836213,All-Rounder,78.037,1.0,3,1.0,0.75,1.60919096,0.80459548,Elite,1,FT-Transformer,frozen_primary,0.80459548,1,0.80459548,False,1.0,0.0,0.0,0.80459548,0.0,0.0,PSL_XI,8.33355605
