player_name,league,total_runs,balls_faced,batting_matches_played,innings_played,times_dismissed,batting_average,strike_rate,fours,sixes,boundary_percentage,wickets,balls_bowled,runs_conceded,bowling_matches_played,innings_bowled,overs_bowled,economy_rate,bowling_average,bowling_strike_rate,wickets_per_match,recent_strike_rate,recent_batting_average,recent_runs_per_match,recent_economy_rate,recent_wickets_per_match,has_batting_record,has_bowling_record,has_dismissal,has_wicket,role,bat_bowl_ratio,batting_credit_raw,bowling_credit_raw,role_credit,total_matches,reliability_weight,role_credit_reliable,recent_form_score,final_raw_score,performance_credit
A Manohar,IPL,231.0,174.0,15.0,15.0,14.0,16.5,132.76,21.0,10.0,17.82,0.0,0.0,0.0,0.0,0.0,0.0,58.23,203.5,118.8,0.0,132.76,16.5,15.4,38.82,0.0,1,0,1.0,0,Batsman,15.0,30.5363,0.0,30.5363,15.0,0.1471,4.4919,28.975,10.6127,15.79
A Mishra,IPL,381.0,419.0,55.0,55.0,32.0,11.91,90.93,31.0,5.0,8.59,174.0,3371.0,4145.0,162.0,162.0,561.83,7.38,23.82,19.37,1.07,63.33,19.0,19.0,8.05,1.0,1,1,1.0,1,Bowler,0.34,19.6615,83.7056,83.7056,162.0,1.0,83.7056,61.9964,78.2783,91.3
A Mithun,IPL,34.0,26.0,6.0,6.0,5.0,6.8,130.77,4.0,1.0,19.23,7.0,288.0,472.0,16.0,16.0,48.0,9.83,67.43,41.14,0.44,0.0,0.0,0.0,38.82,0.0,1,1,1.0,1,Bowler,0.38,26.8968,43.3329,43.3329,16.0,0.1569,6.7989,0.0,5.0992,2.06
A Nehra,IPL,41.0,62.0,17.0,17.0,7.0,5.86,66.13,3.0,1.0,6.45,106.0,1908.0,2495.0,88.0,88.0,318.0,7.85,23.54,18.0,1.2,0.0,0.0,0.0,38.82,0.0,1,1,1.0,1,Bowler,0.19,12.2555,70.0055,70.0055,88.0,0.8627,60.3937,0.0,45.2953,51.08
A Nortje,CPL,30.0,25.0,4.0,4.0,2.0,15.0,120.0,2.0,1.0,12.0,12.0,225.0,334.0,10.0,10.0,37.5,8.91,27.83,18.75,1.2,120.0,15.0,7.5,8.91,1.2,1,1,1.0,1,Bowler,0.4,25.0119,50.0858,50.0858,10.0,0.1389,6.9569,66.4523,21.8307,22.46
A Nortje,IPL,49.0,49.0,13.0,13.0,6.0,8.17,100.0,6.0,0.0,12.24,60.0,1054.0,1574.0,46.0,46.0,175.67,8.96,26.23,17.57,1.3,97.67,8.4,4.2,10.38,1.18,1,1,1.0,1,Bowler,0.28,20.1824,59.5986,59.5986,46.0,0.451,26.879,64.2446,36.2204,40.01
A Phillip,CPL,12.0,18.0,6.0,6.0,1.0,12.0,66.67,0.0,1.0,5.56,10.0,264.0,416.0,18.0,18.0,44.0,9.45,41.6,26.4,0.56,140.0,7.0,3.5,7.8,0.25,1,1,1.0,1,Bowler,0.33,13.9877,47.4683,47.4683,18.0,0.25,11.8671,41.9176,19.3797,19.47
A Shahzad,T20_Blast,32.0,42.0,6.0,6.0,4.0,8.0,76.19,0.0,1.0,2.38,24.0,444.0,579.0,21.0,21.0,74.0,7.82,24.12,18.5,1.14,0.0,0.0,0.0,38.82,0.0,1,1,1.0,1,Bowler,0.29,12.3861,53.964,53.964,21.0,0.3182,17.1713,0.0,12.8785,11.54
A Singh,IPL,2.0,10.0,5.0,5.0,4.0,0.5,20.0,0.0,0.0,0.0,28.0,473.0,620.0,23.0,23.0,78.83,7.87,22.14,16.89,1.22,0.0,0.0,0.0,38.82,0.0,1,1,1.0,1,Bowler,0.22,1.2599,54.9382,54.9382,23.0,0.2255,12.3886,0.0,9.2915,7.17
A Symonds,IPL,974.0,750.0,36.0,36.0,27.0,36.07,129.87,74.0,41.0,15.33,20.0,527.0,674.0,30.0,30.0,87.83,7.67,33.7,26.35,0.67,0.0,0.0,0.0,38.82,0.0,1,1,1.0,1,All-Rounder,1.2,38.2286,52.1554,44.5583,36.0,0.3529,15.7246,0.0,11.7934,13.75
A Zampa,BBL,167.0,185.0,40.0,40.0,23.0,7.26,90.27,13.0,3.0,8.65,124.0,2491.0,3042.0,112.0,112.0,415.17,7.33,24.53,20.09,1.11,67.86,6.33,2.11,7.46,1.06,1,1,1.0,1,Bowler,0.36,17.2945,73.9118,73.9118,112.0,1.0,73.9118,64.2936,71.5072,83.04
A Zampa,CPL,5.0,6.0,2.0,2.0,2.0,2.5,83.33,0.0,0.0,0.0,17.0,319.0,450.0,18.0,18.0,53.17,8.46,26.47,18.76,0.94,0.0,0.0,0.0,38.82,0.0,1,1,1.0,1,Bowler,0.11,10.1735,51.6747,51.6747,18.0,0.25,12.9187,0.0,9.689,7.65
