player_name,league,role,cluster,cluster_name
DJG Sammy,BBL,Batsman,0,"Established Batters, Low Recent Activity"
DJG Sammy,IPL,Batsman,3,Developing Batters
DJG Sammy,PSL,Batsman,0,"Established Batters, Low Recent Activity"
DL Lloyd,T20_Blast,Batsman,1,Elite High-Volume Batters
DLR Smith,BBL,Wicketkeeper-Batsman,3,Developing Batters
DM Bravo,CPL,Batsman,1,Elite High-Volume Batters
DP Conway,IPL,Batsman,2,Recent-Form Batters
DP Hughes,BBL,Batsman,1,Elite High-Volume Batters
DP Hughes,T20_Blast,Batsman,2,Recent-Form Batters
DP Hyatt,CPL,Batsman,3,Developing Batters
DP Sibley,T20_Blast,Batsman,2,Recent-Form Batters
DPMD Jayawardene,CPL,Batsman,3,Developing Batters
DPMD Jayawardene,IPL,Batsman,0,"Established Batters, Low Recent Activity"
DPMD Jayawardene,T20_Blast,Batsman,0,"Established Batters, Low Recent Activity"
DR Smith,CPL,Batsman,0,"Established Batters, Low Recent Activity"
DR Smith,PSL,Batsman,0,"Established Batters, Low Recent Activity"
DW Lawrence,BBL,Batsman,2,Recent-Form Batters
Dhruv Jurel,IPL,Batsman,2,Recent-Form Batters
E Lewis,CPL,Batsman,1,Elite High-Volume Batters
E Lewis,IPL,Batsman,2,Recent-Form Batters
EA Brookes,T20_Blast,Batsman,2,Recent-Form Batters
EJ Byrom,T20_Blast,Batsman,2,Recent-Form Batters
EJ Pollock,T20_Blast,Batsman,1,Elite High-Volume Batters
EJG Morgan,BBL,Batsman,0,"Established Batters, Low Recent Activity"
EJG Morgan,IPL,Batsman,0,"Established Batters, Low Recent Activity"
EJG Morgan,T20_Blast,Batsman,1,Elite High-Volume Batters
EJH Eckersley,T20_Blast,Wicketkeeper-Batsman,0,"Established Batters, Low Recent Activity"
EN Gay,T20_Blast,Batsman,2,Recent-Form Batters
F du Plessis,CPL,Batsman,2,Recent-Form Batters
F du Plessis,IPL,Batsman,1,Elite High-Volume Batters
FH Allen,BBL,Batsman,2,Recent-Form Batters
FH Allen,T20_Blast,Batsman,2,Recent-Form Batters
FIN Khushi,T20_Blast,Batsman,2,Recent-Form Batters
FY Fazal,IPL,Batsman,3,Developing Batters
Fakhar Zaman,PSL,Batsman,1,Elite High-Volume Batters
G Clark,T20_Blast,Batsman,1,Elite High-Volume Batters
G Gambhir,IPL,Batsman,1,Elite High-Volume Batters
G Roelofsen,T20_Blast,Batsman,2,Recent-Form Batters
GA Bartlett,T20_Blast,Batsman,3,Developing Batters
GC Smith,IPL,Batsman,0,"Established Batters, Low Recent Activity"
GC Wilson,T20_Blast,Wicketkeeper-Batsman,0,"Established Batters, Low Recent Activity"
GCH Hill,T20_Blast,Batsman,3,Developing Batters
GD Cross,T20_Blast,Batsman,3,Developing Batters
GD Phillips,CPL,Wicketkeeper-Batsman,0,"Established Batters, Low Recent Activity"
GD Phillips,T20_Blast,Wicketkeeper-Batsman,2,Recent-Form Batters
GFB Scott,T20_Blast,Batsman,3,Developing Batters
GH Roderick,T20_Blast,Batsman,3,Developing Batters
GH Vihari,IPL,Batsman,3,Developing Batters
GJ Bailey,BBL,Batsman,0,"Established Batters, Low Recent Activity"
GJ Bailey,IPL,Batsman,0,"Established Batters, Low Recent Activity"
GJ Bailey,T20_Blast,Batsman,0,"Established Batters, Low Recent Activity"
GJ Muchall,T20_Blast,Batsman,0,"Established Batters, Low Recent Activity"
GO Jones,T20_Blast,Wicketkeeper-Batsman,0,"Established Batters, Low Recent Activity"
GP Smith,T20_Blast,Batsman,0,"Established Batters, Low Recent Activity"
