player_name,league,target_season,cutoff_season,forecast_prob_poor,forecast_prob_average,forecast_prob_elite,role,recent_form,recent_form_percentile,n_recent_seasons_used,reliability,reliability_percentile,forecast_expected_tier,forecast_normalized,forecast_predicted_tier,eligible,forecast_model,forecast_model_status
HJH Brookes,T20_Blast,2024,2023,0.088202775,0.2239201,0.6878771,All-Rounder,66.17333333333335,0.5714285714285714,2,0.8666499999999999,0.0793650793650793,1.5996743,0.79983715,Elite,1,FT-Transformer,frozen_primary
HR Walsh,CPL,2024,2023,0.41709298,0.4122494,0.17065759,Bowler,33.172000000000004,0.4285714285714285,3,1.0,0.925925925925926,0.7535645799999999,0.37678228999999996,Poor,1,FT-Transformer,frozen_primary
HRC Came,T20_Blast,2024,2023,0.1884952,0.53270113,0.27880368,Batsman,50.366666666666674,0.5974025974025974,2,0.7333,0.4677419354838709,1.09030849,0.545154245,Average,1,FT-Transformer,frozen_primary
HTRY Thornton,BBL,2024,2023,0.3100983,0.28831774,0.40158397,Bowler,66.95600000000002,0.6875,3,0.8,0.4285714285714285,1.09148568,0.54574284,Elite,1,FT-Transformer,frozen_primary
HV Patel,IPL,2024,2023,0.11873792,0.22813548,0.65312654,Bowler,76.498,0.9183673469387756,3,1.0,0.8194444444444444,1.53438856,0.76719428,Elite,1,FT-Transformer,frozen_primary
HWR Cartwright,BBL,2024,2023,0.1947039,0.50430036,0.3009957,Batsman,57.019000000000005,0.8918918918918919,3,1.0,0.7666666666666667,1.10629176,0.55314588,Average,1,FT-Transformer,frozen_primary
HZ Finch,T20_Blast,2024,2023,0.69460106,0.2262797,0.07911921,Batsman,4.004285714285714,0.0259740259740259,2,0.6667,0.4354838709677419,0.38451811999999996,0.19225905999999998,Poor,1,FT-Transformer,frozen_primary
Haider Ali,PSL,2024,2023,0.4724416,0.40709004,0.120468356,Batsman,38.992,0.24,3,1.0,0.8676470588235294,0.648026752,0.324013376,Poor,1,FT-Transformer,frozen_primary
Haris Rauf,PSL,2024,2023,0.093686625,0.1876658,0.7186476,Bowler,74.51600000000002,0.9090909090909092,3,1.0,0.90625,1.624961,0.8124805,Elite,1,FT-Transformer,frozen_primary
Harpreet Brar,IPL,2024,2023,0.23409885,0.3444993,0.4214019,Bowler,59.042,0.4897959183673469,3,0.8667,0.6180555555555556,1.1873031,0.59365155,Elite,1,FT-Transformer,frozen_primary
Harpreet Singh,IPL,2024,2023,0.6061218,0.30124566,0.09263248,Batsman,19.44,0.1041666666666666,1,0.2,0.1451612903225806,0.48651062,0.24325531,Poor,1,FT-Transformer,frozen_primary
Harshit Rana,IPL,2024,2023,0.60113335,0.20968564,0.18918104,Bowler,55.76,0.4285714285714285,1,0.2667,0.2986111111111111,0.58804772,0.29402386,Poor,1,FT-Transformer,frozen_primary
Hasan Ali,PSL,2024,2023,0.105851196,0.21125014,0.68289864,Bowler,67.95200000000001,0.7727272727272727,3,1.0,0.90625,1.57704742,0.78852371,Elite,1,FT-Transformer,frozen_primary
Hasan Ali,T20_Blast,2024,2023,0.2956849,0.26510325,0.43921188,Bowler,,,0,0.1667,0.1358024691358024,1.1435270100000001,0.5717635050000001,Elite,1,FT-Transformer,frozen_primary
Haseebullah Khan,PSL,2024,2023,0.5332243,0.3577293,0.10904638,Batsman,,,0,0.2,0.1764705882352941,0.5758220599999999,0.28791102999999996,Poor,1,FT-Transformer,frozen_primary
Hussain Talat,PSL,2024,2023,0.38652927,0.46238112,0.15108964,Batsman,43.55900000000001,0.32,3,1.0,0.8676470588235294,0.7645603999999999,0.38228019999999996,Average,1,FT-Transformer,frozen_primary
I Sharma,IPL,2024,2023,0.16953447,0.20965643,0.62080914,Bowler,59.32285714285715,0.5102040816326531,2,1.0,0.8194444444444444,1.4512747099999999,0.7256373549999999,Elite,1,FT-Transformer,frozen_primary
IG Holland,T20_Blast,2024,2023,0.6547723,0.20877369,0.13645403,Batsman,8.22,0.1038961038961039,1,0.5,0.3064516129032258,0.48168175,0.240840875,Poor,1,FT-Transformer,frozen_primary
Iftikhar Ahmed,PSL,2024,2023,0.49675462,0.3892399,0.11400542,All-Rounder,44.36000000000001,0.2,3,0.93335,0.4,0.61725074,0.30862537,Poor,1,FT-Transformer,frozen_primary
Imad Wasim,CPL,2024,2023,0.06584487,0.22346371,0.71069145,All-Rounder,78.44400000000002,0.9473684210526316,3,1.0,0.631578947368421,1.64484661,0.822423305,Elite,1,FT-Transformer,frozen_primary
Imad Wasim,PSL,2024,2023,0.06917116,0.2524667,0.67836213,All-Rounder,78.037,1.0,3,1.0,0.75,1.60919096,0.80459548,Elite,1,FT-Transformer,frozen_primary
Imran Tahir,CPL,2024,2023,0.08459625,0.19060612,0.72479767,Bowler,81.03600000000002,0.9523809523809524,3,1.0,0.925925925925926,1.6402014599999999,0.8201007299999999,Elite,1,FT-Transformer,frozen_primary
Irfan Khan,PSL,2024,2023,0.5793987,0.3209809,0.099620394,Batsman,,,0,0.2333,0.25,0.520221688,0.260110844,Poor,1,FT-Transformer,frozen_primary
Ishan Kishan,IPL,2024,2023,0.09717865,0.40815884,0.49466252,Wicketkeeper-Batsman,63.878000000000014,0.5714285714285714,3,1.0,0.6666666666666666,1.39748388,0.69874194,Elite,1,FT-Transformer,frozen_primary
J Broad,T20_Blast,2024,2023,0.44424227,0.4187449,0.13701282,Batsman,,,0,0.2,0.1290322580645161,0.6927705399999999,0.34638526999999997,Poor,1,FT-Transformer,frozen_primary
J Brown,BBL,2024,2023,0.18816863,0.5277506,0.28408074,Batsman,64.52,0.945945945945946,1,0.7667,0.4444444444444444,1.09591208,0.54795604,Average,1,FT-Transformer,frozen_primary
J Charles,CPL,2024,2023,0.16067193,0.5087553,0.33057275,Wicketkeeper-Batsman,55.19200000000001,0.3333333333333333,3,1.0,0.7142857142857143,1.1699008000000002,0.5849504000000001,Average,1,FT-Transformer,frozen_primary
J Charles,PSL,2024,2023,0.39450237,0.43522158,0.17027606,Wicketkeeper-Batsman,46.12,0.25,1,0.4,0.4,0.7757737,0.38788685,Average,1,FT-Transformer,frozen_primary
J Clark,T20_Blast,2024,2023,0.4805423,0.36462995,0.15482771,All-Rounder,26.452000000000005,0.0317460317460317,3,1.0,0.6190476190476191,0.67428537,0.337142685,Poor,1,FT-Transformer,frozen_primary
J Da Silva,CPL,2024,2023,0.67036265,0.2478676,0.08176976,Batsman,16.242000000000004,0.1666666666666666,3,0.4667,0.625,0.41140712,0.20570356,Poor,1,FT-Transformer,frozen_primary
J Edwards,BBL,2024,2023,0.15372102,0.39998955,0.44628945,Batsman,39.191428571428574,0.4864864864864865,2,1.0,0.7666666666666667,1.29256845,0.646284225,Elite,1,FT-Transformer,frozen_primary
J Fraser-McGurk,BBL,2024,2023,0.2728606,0.51882756,0.20831189,Batsman,45.44700000000001,0.6486486486486487,3,1.0,0.7666666666666667,0.93545134,0.46772567,Average,1,FT-Transformer,frozen_primary
J Hull,T20_Blast,2024,2023,0.45197204,0.24315311,0.3048749,Bowler,,,0,0.1667,0.1358024691358024,0.8529029100000001,0.42645145500000003,Poor,1,FT-Transformer,frozen_primary
